filename,File Size (MB),Width (px),Height (px),Levels,Spacings (mu),Downsamples,Scanner
3ce97d14a8543b0a90ce8c928d387ed3.tif,68.53,17408,20992,6,"[0.4850694762547596, 0.9701389525095192, 1.9402779050190384, 3.880555810038077, 7.761111620076154, 15.522223240152307]","(1.0, 2.0, 4.0, 8.0, 16.0, 32.0)",3D Histech Panoramic P1000
da629bc153ef3caf816e4aee0c72a3ea.tif,27.54,12800,11264,6,"[0.4850694762547596, 0.9701389525095192, 1.9402779050190384, 3.880555810038077, 7.761111620076154, 15.522223240152307]","(1.0, 2.0, 4.0, 8.0, 16.0, 32.0)",3D Histech Panoramic P1000
a40dd65599fb3aaf942df76e2a9669cd.tif,59.61,16384,19968,6,"[0.4850694762547596, 0.9701389525095192, 1.9402779050190384, 3.880555810038077, 7.761111620076154, 15.522223240152307]","(1.0, 2.0, 4.0, 8.0, 16.0, 32.0)",3D Histech Panoramic P1000
3a613e13037539709eef032992fc93e7.tif,27.74,11776,11776,6,"[0.4850694762547596, 0.9701389525095192, 1.9402779050190384, 3.880555810038077, 7.761111620076154, 15.522223240152307]","(1.0, 2.0, 4.0, 8.0, 16.0, 32.0)",3D Histech Panoramic P1000
c5941b494c243e898bb6dc346c7a2b98.tif,26.25,12800,10752,6,"[0.4850694762547596, 0.9701389525095192, 1.9402779050190384, 3.880555810038077, 7.761111620076154, 15.522223240152307]","(1.0, 2.0, 4.0, 8.0, 16.0, 32.0)",3D Histech Panoramic P1000
5798b32bae343c7aba116e2a1973e3be.tif,19.84,9216,12288,5,"[0.4850694762547596, 0.9701389525095192, 1.9402779050190384, 3.880555810038077, 7.761111620076154]","(1.0, 2.0, 4.0, 8.0, 16.0)",3D Histech Panoramic P1000
820cc3b45faa36068d8866ed0a8016b2.tif,86.15,23552,17920,7,"[0.4850694762547596, 0.9701389525095192, 1.9402779050190384, 3.880555810038077, 7.761111620076154, 15.522223240152307, 31.044446480304615]","(1.0, 2.0, 4.0, 8.0, 16.0, 32.0, 64.0)",3D Histech Panoramic P1000
4a0cac111c4c3dc0addd105d300cb17b.tif,57.92,19968,18944,6,"[0.4850694762547596, 0.9701389525095192, 1.9402779050190384, 3.880555810038077, 7.761111620076154, 15.522223240152307]","(1.0, 2.0, 4.0, 8.0, 16.0, 32.0)",3D Histech Panoramic P1000
9f91f43dd34f344cb1f5db66c0a66b58.tif,11.2,7680,7680,5,"[0.4850694762547596, 0.9701389525095192, 1.9402779050190384, 3.880555810038077, 7.761111620076154]","(1.0, 2.0, 4.0, 8.0, 16.0)",3D Histech Panoramic P1000
3eeed77779d638d38009b5ecbd64751f.tif,16.15,6656,10752,5,"[0.4850694762547596, 0.9701389525095192, 1.9402779050190384, 3.880555810038077, 7.761111620076154]","(1.0, 2.0, 4.0, 8.0, 16.0)",3D Histech Panoramic P1000
a17677a5e218306ab32719193c49c5e6.tif,114.21,24576,19968,7,"[0.4850694762547596, 0.9701389525095192, 1.9402779050190384, 3.880555810038077, 7.761111620076154, 15.522223240152307, 31.044446480304615]","(1.0, 2.0, 4.0, 8.0, 16.0, 32.0, 64.0)",3D Histech Panoramic P1000
b0611225c01335f8a280fd81994e41f0.tif,24.63,12800,11776,6,"[0.4850694762547596, 0.9701389525095192, 1.9402779050190384, 3.880555810038077, 7.761111620076154, 15.522223240152307]","(1.0, 2.0, 4.0, 8.0, 16.0, 32.0)",3D Histech Panoramic P1000
6447f21d57d43b0da0cf6a5dc07055a1.tif,33.18,13824,12800,6,"[0.4850694762547596, 0.9701389525095192, 1.9402779050190384, 3.880555810038077, 7.761111620076154, 15.522223240152307]","(1.0, 2.0, 4.0, 8.0, 16.0, 32.0)",3D Histech Panoramic P1000
aec148893e7a376f9c5e0f95fa04d8a6.tif,26.65,11776,14336,6,"[0.4850694762547596, 0.9701389525095192, 1.9402779050190384, 3.880555810038077, 7.761111620076154, 15.522223240152307]","(1.0, 2.0, 4.0, 8.0, 16.0, 32.0)",3D Histech Panoramic P1000
dd8658da0ef13736b4befbdee6e7c3d5.tif,36.9,12288,16896,6,"[0.4850694762547596, 0.9701389525095192, 1.9402779050190384, 3.880555810038077, 7.761111620076154, 15.522223240152307]","(1.0, 2.0, 4.0, 8.0, 16.0, 32.0)",3D Histech Panoramic P1000
